job_name,company_name,salary_low,salary_high,location,experience,education,company_size,industry,description
数据运营,招商银行,8,19,宝安区,应届生,大专,1000-9999人,电子商务,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 数据仓库、可视化。
数据分析实习生,华润置地,10,19,南山区,1-3年,本科,1000-9999人,互联网,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 机器学习、A/B测试、数据挖掘、Python、Tableau。
数据分析实习生,招商银行,10,16,龙华区,应届生,本科,100-499人,电子商务,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 FineBI、数据挖掘、SQL、A/B测试。
BI分析师,顺丰速运,16,26,龙华区,1-3年,本科,0-20人,人工智能,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 爬虫、Excel、机器学习。
商业分析,智联科技,10,15,龙华区,应届生,本科,500-999人,医疗健康,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 FineBI、Tableau。
商业分析,大疆创新,14,27,罗湖区,5-10年,本科,500-999人,人工智能,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 SQL、机器学习、FineBI、Spark。
BI分析师,深蓝信息,12,24,龙华区,经验不限,本科,1000-9999人,金融,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 NumPy、数据挖掘、FineBI、机器学习、数据仓库。
商业分析,比亚迪,12,20,宝安区,5-10年,大专,100-499人,通信,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Pandas、NumPy。
数据分析师,大疆创新,11,18,光明区,1-3年,本科,100-499人,电子商务,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Pandas、ETL。
数据运营,大疆创新,11,16,龙岗区,1-3年,硕士,1000-9999人,通信,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Hive、Tableau、FineBI、Pandas。
数据产品经理,华润置地,9,19,宝安区,应届生,本科,100-499人,医疗健康,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 FineBI、Spark。
数据挖掘工程师,星辰互联网,12,25,罗湖区,经验不限,本科,500-999人,金融,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Excel、MySQL。
数据分析实习生,平安科技,9,15,盐田区,5-10年,本科,100-499人,教育,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 PowerBI、ETL、FineBI、爬虫、统计分析。
BI分析师,中兴通讯,7,13,福田区,经验不限,大专,0-20人,物流,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 数据仓库、机器学习、Python。
数据分析师,深蓝信息,10,19,南山区,3-5年,大专,20-99人,互联网,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 PowerBI、ETL、NumPy、MySQL、机器学习。
数据分析师,华为技术,8,10,光明区,1-3年,本科,1000-9999人,教育,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Pandas、SQL。
数据挖掘工程师,华为技术,14,29,宝安区,应届生,本科,20-99人,金融,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 数据挖掘、A/B测试、机器学习。
数据挖掘工程师,极光智能,7,16,坪山区,应届生,本科,100-499人,医疗健康,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Excel、机器学习。
数据分析实习生,极光智能,13,21,光明区,3-5年,本科,0-20人,互联网,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 数据挖掘、A/B测试、爬虫、可视化、MySQL。
数据分析师,万科集团,12,19,坪山区,应届生,本科,20-99人,互联网,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Hive、FineBI、Tableau、SQL、Excel。
数据分析师,智联科技,7,17,宝安区,1-3年,硕士,500-999人,医疗健康,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 FineBI、Excel。
BI分析师,比亚迪,16,27,罗湖区,经验不限,本科,20-99人,金融,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 NumPy、爬虫、A/B测试、Spark、Excel。
数据分析师,华为技术,14,22,坪山区,经验不限,本科,10000人以上,互联网,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 机器学习、Hadoop。
BI分析师,云帆数据,12,22,罗湖区,1-3年,博士,500-999人,软件服务,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 ETL、爬虫。
数据运营,华为技术,6,12,福田区,1-3年,本科,100-499人,制造,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Spark、PowerBI、数据挖掘。
数据分析师,华为技术,14,29,光明区,3-5年,大专,100-499人,金融,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 数据挖掘、Tableau、A/B测试。
数据分析师,华为技术,16,30,福田区,5-10年,本科,20-99人,人工智能,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Hadoop、数据仓库。
数据分析师,顺丰速运,16,27,龙华区,3-5年,本科,1000-9999人,人工智能,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 PowerBI、机器学习、Pandas、Hadoop。
数据产品经理,平安科技,8,13,宝安区,3-5年,博士,1000-9999人,教育,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Python、Tableau、Spark、可视化、机器学习。
数据挖掘工程师,腾讯科技,9,19,盐田区,经验不限,硕士,100-499人,软件服务,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 机器学习、FineBI、Python、PowerBI。
数据分析师,星辰互联网,14,29,罗湖区,1-3年,本科,500-999人,金融,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Python、Pandas、数据挖掘、Tableau。
数据分析师,万科集团,15,26,光明区,经验不限,本科,100-499人,人工智能,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 统计分析、数据仓库。
商业分析,腾讯科技,10,23,坪山区,3-5年,本科,1000-9999人,互联网,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Hadoop、可视化、Excel。
